"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Kingdom","Phylum","Class","Order","Family","Genus","Comparison"
"ASV1580",8.19181024549605,6.20578327659493,0.910223080249344,6.81787070801912,9.23997401389089e-12,2.80895210022283e-09,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Yersiniaceae","Yersinia","Clinician Taken Swab vs Self Taken Swab"
"ASV3522",10.2463619820128,7.07285187338395,1.27698438160562,5.53871447079946,3.04699943487532e-08,4.63143914101049e-06,"Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Clostridium_sensu_stricto_5","Clinician Taken Swab vs Self Taken Swab"
"ASV1634",55.3987346429745,4.339785055558,0.797798372415568,5.43970156572021,5.33698961643758e-08,5.40814947799008e-06,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","Clinician Taken Swab vs Self Taken Swab"
"ASV3554",8.01074363456221,6.13168850167766,1.19539112522099,5.12944121159013,2.9060350513188e-07,2.20858663900228e-05,"Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Clostridium_sensu_stricto_13","Clinician Taken Swab vs Self Taken Swab"
"ASV1485",26.2183382844453,4.91591194452055,1.17266276909373,4.19209347655825,2.7639206106475e-05,0.00147309711165218,"Bacteria","Proteobacteria","Gammaproteobacteria","Aeromonadales","Aeromonadaceae","Aeromonas","Clinician Taken Swab vs Self Taken Swab"
"ASV1582",14.7532095096043,6.13953707801562,1.46857850577521,4.18059848613594,2.90742850983983e-05,0.00147309711165218,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Hafniaceae","Hafnia-Obesumbacterium","Clinician Taken Swab vs Self Taken Swab"
"ASV3460",371.683531168476,26.8391340261895,1.19508903924882,22.4578530508986,1.07246398458336e-111,2.25217436762505e-109,"Bacteria","Firmicutes","Negativicutes","Veillonellales-Selenomonadales","Veillonellaceae","Negativicoccus","Clinician Taken Swab vs Stool"
"ASV3599",569.526082586077,28.2901814563403,1.32371795092766,21.3717593211715,2.44735265304324e-101,2.5697202856954e-99,"Bacteria","Firmicutes","Clostridia","Clostridia_or","Hungateiclostridiaceae","Fastidiosipila","Clinician Taken Swab vs Stool"
"ASV940",102.45995262584,26.6213788749041,1.50301991243102,17.7119269377118,3.3925653004734e-70,2.37479571033138e-68,"Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Peptostreptococcales-Tissierellales_fa","Gallicola","Clinician Taken Swab vs Stool"
"ASV3146",112.989585409123,26.8374491138651,1.68136119265481,15.961739352084,2.36059946496025e-57,1.23931471910413e-55,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Aerococcaceae","Facklamia","Clinician Taken Swab vs Stool"
"ASV1183",82.5495802164891,27.2186232553579,1.76306154651142,15.4382717433861,9.04927184335279e-54,3.80069417420817e-52,"Bacteria","Synergistota","Synergistia","Synergistales","Synergistaceae","Pyramidobacter","Clinician Taken Swab vs Stool"
"ASV1254",3585.31719728206,11.7990990655934,0.786481370564894,15.0023884953799,7.08240797014822e-51,2.47884278955188e-49,"Bacteria","Campilobacterota","Campylobacteria","Campylobacterales","Campylobacteraceae","Campylobacter","Clinician Taken Swab vs Stool"
"ASV948",1362.82317452788,11.3625144469533,0.814299287172249,13.9537325231009,2.98562301409162e-44,8.95686904227485e-43,"Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Peptostreptococcales-Tissierellales_fa","Finegoldia","Clinician Taken Swab vs Stool"
"ASV861",398.842822053166,12.1738241841373,0.896908597369731,13.5730934231628,5.78289450139526e-42,1.51800980661626e-40,"Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Anaerovoracaceae","S5-A14a","Clinician Taken Swab vs Stool"
"ASV1784",51.2845399586583,25.1866788458178,1.90659230957831,13.210311779443,7.65068814566748e-40,1.78516056732241e-38,"Bacteria","Actinobacteriota","Actinobacteria","Micrococcales","Brevibacteriaceae","Brevibacterium","Clinician Taken Swab vs Stool"
"ASV3507",40.3898199115179,26.5988202517175,2.06803507127666,12.8618806427191,7.37599798369514e-38,1.54895957657598e-36,"Bacteria","Firmicutes","Negativicutes","Acidaminococcales","Acidaminococcaceae","Succiniclasticum","Clinician Taken Swab vs Stool"
"ASV1715",453.917729056483,11.7684155004971,0.943959256653589,12.4670799269632,1.1288742365515e-35,2.15512354250741e-34,"Bacteria","Actinobacteriota","Actinobacteria","Actinomycetales","Actinomycetaceae","Varibaculum","Clinician Taken Swab vs Stool"
"ASV1705",279.859595788466,12.0237243013501,0.983525159674993,12.225131388935,2.28212415346586e-34,3.99371726856526e-33,"Bacteria","Actinobacteriota","Actinobacteria","Actinomycetales","Actinomycetaceae","Mobiluncus","Clinician Taken Swab vs Stool"
"ASV1854",599.165044269905,11.2374699394672,0.929528159611196,12.0894346484001,1.20110377235982e-33,1.94024455535048e-32,"Bacteria","Actinobacteriota","Actinobacteria","Corynebacteriales","Corynebacteriaceae","Corynebacterium","Clinician Taken Swab vs Stool"
"ASV1084",713.456216013861,12.1351193555761,1.04538348374326,11.6082945103775,3.74000818536699e-31,5.61001227805049e-30,"Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Peptostreptococcales-Tissierellales_fa","Murdochiella","Clinician Taken Swab vs Stool"
"ASV1066",38.5837768927979,25.1130624819634,2.19466358380989,11.4427845193329,2.55549684351788e-30,3.57769558092503e-29,"Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Peptostreptococcales-Tissierellales_fa","Helcococcus","Clinician Taken Swab vs Stool"
"ASV1762",31.6173351351753,25.2150255712141,2.41359942877196,10.4470631168667,1.51132946760472e-25,1.98361992623119e-24,"Bacteria","Actinobacteriota","Actinobacteria","Micrococcales","Microbacteriaceae","Pseudoclavibacter","Clinician Taken Swab vs Stool"
"ASV1790",110.423147784436,10.3684323822144,1.01102582490953,10.2553585939728,1.11959661155214e-24,1.38303110838794e-23,"Bacteria","Actinobacteriota","Actinobacteria","Corynebacteriales","Corynebacteriaceae","Lawsonella","Clinician Taken Swab vs Stool"
"ASV16341",55.3987346429745,7.44934983442718,0.821310501394496,9.07007742112027,1.18932478616726e-19,1.3875455838618e-18,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","Clinician Taken Swab vs Stool"
"ASV15801",8.19181024549605,8.04050585060715,0.927892785279629,8.66533933463451,4.50170135794553e-18,4.97556465878191e-17,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Yersiniaceae","Yersinia","Clinician Taken Swab vs Stool"
"ASV3129",261.958199073755,4.85827089747566,0.574871201537185,8.45105979301941,2.8867036115294e-17,3.03103879210587e-16,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Carnobacteriaceae","Carnobacterium","Clinician Taken Swab vs Stool"
"ASV1350",75.8741017915404,4.35376374408525,0.605842579831604,7.1862953992032,6.6572928702557e-13,6.6572928702557e-12,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Burkholderiaceae","Burkholderia-Caballeronia-Paraburkholderia","Clinician Taken Swab vs Stool"
"ASV2315",16.9047442586285,25.3384100222066,3.56497548259876,7.10759727405914,1.18080511474615e-12,1.12713215498496e-11,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Williamwhitmaniaceae","Blvii28_wastewater-sludge_group","Clinician Taken Swab vs Stool"
"ASV1178",10.1699410050913,24.8755423698567,3.56514870649612,6.97742069623367,3.00648421125996e-12,2.74505080158518e-11,"Bacteria","Synergistota","Synergistia","Synergistales","Synergistaceae","Dethiosulfovibrio","Clinician Taken Swab vs Stool"
"ASV3084",78.130092975231,4.56644833638927,0.655105873391627,6.97055013832765,3.15703981366777e-12,2.7624098369593e-11,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Lactococcus","Clinician Taken Swab vs Stool"
"ASV922",154.491893795699,9.56779693837188,1.38398349807923,6.91323050574709,4.73739217045298e-12,3.9794094231805e-11,"Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Peptostreptococcales-Tissierellales_fa","W5053","Clinician Taken Swab vs Stool"
"ASV2947",136.446641412898,7.73678910158123,1.12467855668903,6.87911141860636,6.02270427412123e-12,4.8644919137133e-11,"Bacteria","Fusobacteriota","Fusobacteriia","Fusobacteriales","Fusobacteriaceae","Fusobacterium","Clinician Taken Swab vs Stool"
"ASV4252",13.3817177734523,-24.4576391802439,3.56335104062019,-6.86366257532325,6.71170602267608e-12,5.22021579541473e-11,"Bacteria","Firmicutes","Clostridia","Oscillospirales","Ruminococcaceae","CAG-352","Clinician Taken Swab vs Stool"
"ASV14851",26.2183382844453,8.28198553483129,1.22086540958343,6.7837007010111,1.171358738222e-11,8.78519053666499e-11,"Bacteria","Proteobacteria","Gammaproteobacteria","Aeromonadales","Aeromonadaceae","Aeromonas","Clinician Taken Swab vs Stool"
"ASV1599",106.87164126916,4.01862658011578,0.595974722705357,6.74294802617416,1.5520474068998e-11,1.12389639809985e-10,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Yersiniaceae","Serratia","Clinician Taken Swab vs Stool"
"ASV35541",8.01074363456221,8.0074656374041,1.20909848863776,6.62267442450102,3.52757421186329e-11,2.4693019483043e-10,"Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Clostridium_sensu_stricto_13","Clinician Taken Swab vs Stool"
"ASV35221",10.2463619820128,8.35459624740291,1.27996229246821,6.52722060373539,6.70013298359506e-11,4.53879976308052e-10,"Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Clostridium_sensu_stricto_5","Clinician Taken Swab vs Stool"
"ASV1928",35.1454012602253,8.02809910273113,1.32357766659846,6.06545373598138,1.31581643796775e-09,8.63504537416336e-09,"Bacteria","Actinobacteriota","Coriobacteriia","Coriobacteriales","Atopobiaceae","Atopobium","Clinician Taken Swab vs Stool"
"ASV981",5072.68147438989,6.20492041648133,1.03597534676619,5.98944794955796,2.10554502015849e-09,1.3398922855554e-08,"Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Peptostreptococcales-Tissierellales_fa","Fenollaria","Clinician Taken Swab vs Stool"
"ASV1054",2259.5978189096,6.27210888079919,1.06844872654878,5.87029468513557,4.3502120875252e-09,2.6868957011185e-08,"Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Peptostreptococcales-Tissierellales_fa","Anaerococcus","Clinician Taken Swab vs Stool"
"ASV881",40.4022581976312,6.64913040441466,1.15836404080522,5.74010429380439,9.46182618699648e-09,5.67709571219789e-08,"Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Peptostreptococcaceae","Peptostreptococcus","Clinician Taken Swab vs Stool"
"ASV113",37.7625699175117,9.86455616107992,1.73343809442817,5.69074614939396,1.26485430965753e-08,7.29084768932928e-08,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Moryella","Clinician Taken Swab vs Stool"
"ASV826",20.9002770245516,6.58062970787369,1.15691098902707,5.68810372646545,1.28457792621516e-08,7.29084768932928e-08,"Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Anaerovoracaceae","Mogibacterium","Clinician Taken Swab vs Stool"
"ASV2865",7278.40228775945,6.18860895179732,1.12348687437372,5.50839452863847,3.62121100754615e-08,2.00119555680182e-07,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Porphyromonadaceae","Porphyromonas","Clinician Taken Swab vs Stool"
"ASV1141",7731.64870062258,6.06021750529924,1.13671198170647,5.33135710965363,9.74815082928467e-08,5.24900429269174e-07,"Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Peptostreptococcales-Tissierellales_fa","Peptoniphilus","Clinician Taken Swab vs Stool"
"ASV1447",472.143569627205,3.86545352608464,0.770919016119432,5.01408506634347,5.32864097325041e-07,2.72930391312826e-06,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Escherichia/Shigella","Clinician Taken Swab vs Stool"
"ASV3020",37.7585526963581,6.55239038458618,1.30601222363631,5.01709728745297,5.24580075089417e-07,2.72930391312826e-06,"Bacteria","Firmicutes","Bacilli","Staphylococcales","Staphylococcaceae","Staphylococcus","Clinician Taken Swab vs Stool"
"ASV3043",173.150435456387,4.76579206616948,0.981217972446387,4.85701668742097,1.19167554728164e-06,5.95837773640822e-06,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","Clinician Taken Swab vs Stool"
"ASV961",5603.62324518096,5.79655075262708,1.20635920026931,4.80499568564077,1.54754842119032e-06,7.55779461511553e-06,"Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Peptostreptococcales-Tissierellales_fa","Ezakiella","Clinician Taken Swab vs Stool"
"ASV1728",38.3470631817599,3.59989527437134,0.75589856340656,4.76240523351165,1.91299041488388e-06,9.13018152558215e-06,"Bacteria","Actinobacteriota","Actinobacteria","Actinomycetales","Actinomycetaceae","Actinomyces","Clinician Taken Swab vs Stool"
"ASV15821",14.7532095096043,6.77324288065276,1.46659728235779,4.61833862787725,3.8682463081485e-06,1.8051816104693e-05,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Hafniaceae","Hafnia-Obesumbacterium","Clinician Taken Swab vs Stool"
"ASV1540",20.961706987129,5.16658922127722,1.14465748039321,4.51365522855133,6.37197724159239e-06,2.90894613203131e-05,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Citrobacter","Clinician Taken Swab vs Stool"
"ASV3179",21.3957244291871,5.36036573151902,1.20825678377204,4.43644579820572,9.14563494185615e-06,4.08634752721232e-05,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus","Clinician Taken Swab vs Stool"
"ASV1562",6.86083143516562,6.05348275443475,1.40143488844076,4.31948912101786,1.56390817680037e-05,6.8420982735016e-05,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Morganellaceae","Providencia","Clinician Taken Swab vs Stool"
"ASV1555",3.45439479611715,6.8522877786692,1.74868022310576,3.91854822175498,8.90839087729692e-05,0.000381788180455582,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Morganellaceae","Morganella","Clinician Taken Swab vs Stool"
"ASV1523",38.6267812838594,6.70070350679819,1.71799976335855,3.90029361453394,9.60760985354492e-05,0.000403519613848887,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Klebsiella","Clinician Taken Swab vs Stool"
