"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Kingdom","Phylum","Class","Order","Family","Genus","Comparison"
"ASV1586",9.63209264028808,4.84683699660317,1.25814931147334,3.85235436875719,0.000116987554415366,0.000473439901905298,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Budviciaceae","Budvicia","Clinician Taken Swab vs Stool"
"ASV2668",4.60476193729521,4.55562418437754,1.18271320124398,3.85184183247969,0.000117232737614645,0.000473439901905298,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Dysgonomonadaceae","Dysgonomonas","Clinician Taken Swab vs Stool"
"ASV3168",9.57410451242857,4.09535946441656,1.10581121746047,3.70348880509792,0.00021265456991178,0.000842593578895731,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Vagococcaceae","Vagococcus","Clinician Taken Swab vs Stool"
"ASV3090",223.212379031514,1.75980264718806,0.48560353756894,3.62394939707007,0.000290138394625712,0.00112831597909999,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Clinician Taken Swab vs Stool"
"ASV1769",3.04121944881842,5.63398628928594,1.61607564079303,3.48621447355103,0.000489908056346581,0.00187055803332331,"Bacteria","Actinobacteriota","Actinobacteria","Micrococcales","Dermabacteraceae","Dermabacter","Clinician Taken Swab vs Stool"
"ASV2992",3.23585933064563,5.59292431350545,1.61974977007306,3.4529557693675,0.000554479911317622,0.00207929966744108,"Bacteria","Firmicutes","Bacilli","Paenibacillales","Paenibacillaceae","Paenibacillus","Clinician Taken Swab vs Stool"
"ASV1213",65.6161039755285,3.17083608514253,0.977236218565794,3.2446976738092,0.00117575380103867,0.00433172453014247,"Bacteria","Firmicutes","Clostridia","Peptococcales","Peptococcaceae","Peptococcus","Clinician Taken Swab vs Stool"
"ASV3068",2.86682076849506,5.29203922590511,1.66416355523961,3.17999947135193,0.00147275320985826,0.00533238231155575,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Leuconostocaceae","Weissella","Clinician Taken Swab vs Stool"
"ASV3433",1303.3859447634,2.88017113918433,0.92606354524981,3.11012257631563,0.00187009720260375,0.0066562781787591,"Bacteria","Firmicutes","Negativicutes","Veillonellales-Selenomonadales","Veillonellaceae","Dialister","Clinician Taken Swab vs Stool"
"ASV927",21.2182750527732,7.83648140345004,2.54866838748043,3.07473559210151,0.00210689246731341,0.00737412363559692,"Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Peptostreptococcales-Tissierellales_fa","Parvimonas","Clinician Taken Swab vs Stool"
"ASV1505",9.0670415320671,3.99000693926472,1.33766073587136,2.98282429338528,0.00285601903441235,0.00983219667584581,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Enterobacter","Clinician Taken Swab vs Stool"
"ASV34601",371.683531168476,29.0125810186857,1.19393311376464,24.3000053220777,1.96006658266608e-130,5.2529784415451e-128,"Bacteria","Firmicutes","Negativicutes","Veillonellales-Selenomonadales","Veillonellaceae","Negativicoccus","Self Taken Swab vs Stool"
"ASV35991",569.526082586077,30.4272989280171,1.3230276396504,22.9982337602994,4.85489398684028e-117,6.50555794236598e-115,"Bacteria","Firmicutes","Clostridia","Clostridia_or","Hungateiclostridiaceae","Fastidiosipila","Self Taken Swab vs Stool"
"ASV9401",102.45995262584,27.7046915808506,1.50150819218841,18.451242374157,5.09599733058267e-76,4.55242428198718e-74,"Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Peptostreptococcales-Tissierellales_fa","Gallicola","Self Taken Swab vs Stool"
"ASV31461",112.989585409123,27.8590071601386,1.68015107311867,16.581251296901,9.52252285639529e-62,6.38009031378484e-60,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Aerococcaceae","Facklamia","Self Taken Swab vs Stool"
"ASV12541",3585.31719728206,11.9835459765126,0.786439719412609,15.2377171202175,1.98692215059639e-52,1.06499027271966e-50,"Bacteria","Campilobacterota","Campylobacteria","Campylobacterales","Campylobacteraceae","Campylobacter","Self Taken Swab vs Stool"
"ASV11831",82.5495802164891,26.7991501217979,1.76281047473653,15.2025135463319,3.40308594637009e-52,1.52004505604531e-50,"Bacteria","Synergistota","Synergistia","Synergistales","Synergistaceae","Pyramidobacter","Self Taken Swab vs Stool"
"ASV18541",599.165044269905,13.6314903019318,0.928481723491612,14.6814847907504,8.47149033692555e-49,3.24337058613721e-47,"Bacteria","Actinobacteriota","Actinobacteria","Corynebacteriales","Corynebacteriaceae","Corynebacterium","Self Taken Swab vs Stool"
"ASV8611",398.842822053166,12.9145484491612,0.896398266118244,14.407154651343,4.66538080385525e-47,1.56290256929151e-45,"Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Anaerovoracaceae","S5-A14a","Self Taken Swab vs Stool"
"ASV9481",1362.82317452788,11.5445116663085,0.814195007804266,14.1790499274147,1.23507324765732e-45,3.67777367080181e-44,"Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Peptostreptococcales-Tissierellales_fa","Finegoldia","Self Taken Swab vs Stool"
"ASV17151",453.917729056483,13.364155486802,0.943157746756989,14.1695867236993,1.41329786372617e-45,3.78763827478613e-44,"Bacteria","Actinobacteriota","Actinobacteria","Actinomycetales","Actinomycetaceae","Varibaculum","Self Taken Swab vs Stool"
"ASV17841",51.2845399586583,26.3650412895722,1.90451980483863,13.8434062080054,1.39439294384255e-43,3.39724826318002e-42,"Bacteria","Actinobacteriota","Actinobacteria","Micrococcales","Brevibacteriaceae","Brevibacterium","Self Taken Swab vs Stool"
"ASV10841",713.456216013861,13.0466537144175,1.04508700351673,12.4837967274642,9.15164164858293e-36,2.04386663485019e-34,"Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Peptostreptococcales-Tissierellales_fa","Murdochiella","Self Taken Swab vs Stool"
"ASV17051",279.859595788466,12.1380218187068,0.983166769597001,12.3458422254061,5.12946254267933e-35,1.05745843187543e-33,"Bacteria","Actinobacteriota","Actinobacteria","Actinomycetales","Actinomycetaceae","Mobiluncus","Self Taken Swab vs Stool"
"ASV10661",38.5837768927979,26.5754492794805,2.19274721671434,12.119704942233,8.3057616135519e-34,1.56415144704796e-32,"Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Peptostreptococcales-Tissierellales_fa","Helcococcus","Self Taken Swab vs Stool"
"ASV35071",40.3898199115179,25.0706634404957,2.0693235349515,12.1153908594014,8.75457899467144e-34,1.56415144704796e-32,"Bacteria","Firmicutes","Negativicutes","Acidaminococcales","Acidaminococcaceae","Succiniclasticum","Self Taken Swab vs Stool"
"ASV17901",110.423147784436,11.037544489388,1.00969508492964,10.9315620667374,8.14343768744514e-28,1.36402581264706e-26,"Bacteria","Actinobacteriota","Actinobacteria","Corynebacteriales","Corynebacteriaceae","Lawsonella","Self Taken Swab vs Stool"
"ASV17621",31.6173351351753,26.1359952017891,2.41223880356331,10.8347461964303,2.35617869216433e-27,3.71444640882377e-26,"Bacteria","Actinobacteriota","Actinobacteria","Micrococcales","Microbacteriaceae","Pseudoclavibacter","Self Taken Swab vs Stool"
"ASV9221",154.491893795699,11.9606933332095,1.38136705949723,8.65859168348984,4.77628391925157e-18,7.11135605755233e-17,"Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Peptostreptococcales-Tissierellales_fa","W5053","Self Taken Swab vs Stool"
"ASV10541",2259.5978189096,7.66704715207227,1.06831513351105,7.17676546139929,7.13799834309475e-13,1.00683345049968e-11,"Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Peptostreptococcales-Tissierellales_fa","Anaerococcus","Self Taken Swab vs Stool"
"ASV11411",7731.64870062258,8.1394966801298,1.13665396675277,7.16092752782362,8.01330069239408e-13,1.07378229278081e-11,"Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Peptostreptococcales-Tissierellales_fa","Peptoniphilus","Self Taken Swab vs Stool"
"ASV19281",35.1454012602253,9.26025653339641,1.32111381828326,7.00943128838798,2.3928877102157e-12,3.05378050637051e-11,"Bacteria","Actinobacteriota","Coriobacteriia","Coriobacteriales","Atopobiaceae","Atopobium","Self Taken Swab vs Stool"
"ASV42521",13.3817177734523,-24.8514648902869,3.56339702321242,-6.97409374492971,3.07848763747383e-12,3.75015766746812e-11,"Bacteria","Firmicutes","Clostridia","Oscillospirales","Ruminococcaceae","CAG-352","Self Taken Swab vs Stool"
"ASV28651",7278.40228775945,7.76864296008187,1.12344269345974,6.91503269842602,4.67755468746519e-12,5.45036807061162e-11,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Porphyromonadaceae","Porphyromonas","Self Taken Swab vs Stool"
"ASV23151",16.9047442586285,24.036392113148,3.56640948192127,6.73966134146752,1.58756221089495e-11,1.77277780216603e-10,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Williamwhitmaniaceae","Blvii28_wastewater-sludge_group","Self Taken Swab vs Stool"
"ASV9811",5072.68147438989,6.61932178234352,1.03594753394332,6.38963032919937,1.66287259290941e-10,1.78259941959889e-09,"Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Peptostreptococcales-Tissierellales_fa","Fenollaria","Self Taken Swab vs Stool"
"ASV11781",10.1699410050913,22.4386895380313,3.56982329491854,6.28565833215655,3.26467239644372e-10,3.36512385479583e-09,"Bacteria","Synergistota","Synergistia","Synergistales","Synergistaceae","Dethiosulfovibrio","Self Taken Swab vs Stool"
"ASV9611",5603.62324518096,7.46616584947385,1.20630227405993,6.18929932407883,6.04322330275709e-10,5.99845868569963e-09,"Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Peptostreptococcales-Tissierellales_fa","Ezakiella","Self Taken Swab vs Stool"
"ASV8261",20.9002770245516,6.64388159691483,1.15688204005399,5.74292051124311,9.30574171246878e-09,8.90692421050584e-08,"Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Anaerovoracaceae","Mogibacterium","Self Taken Swab vs Stool"
"ASV29471",136.446641412898,6.39565207983277,1.12520380533321,5.68399435686124,1.31584620793429e-08,1.21602339215996e-07,"Bacteria","Fusobacteriota","Fusobacteriia","Fusobacteriales","Fusobacteriaceae","Fusobacterium","Self Taken Swab vs Stool"
"ASV8811",40.4022581976312,6.52812637917591,1.15734200963058,5.6406199073856,1.69439023925614e-08,1.51365528040215e-07,"Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Peptostreptococcaceae","Peptostreptococcus","Self Taken Swab vs Stool"
"ASV30201",37.7585526963581,7.17666398357617,1.3041463383921,5.50295911762814,3.73469048151439e-08,3.22870015821244e-07,"Bacteria","Firmicutes","Bacilli","Staphylococcales","Staphylococcaceae","Staphylococcus","Self Taken Swab vs Stool"
"ASV31291",261.958199073755,2.98842537245999,0.575976658885786,5.18844874415751,2.12053109404313e-07,1.77594479126112e-06,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Carnobacteriaceae","Carnobacterium","Self Taken Swab vs Stool"
"ASV15991",106.87164126916,2.96557729190757,0.596820192851432,4.96896272517005,6.731200666924e-07,5.46655084465343e-06,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Yersiniaceae","Serratia","Self Taken Swab vs Stool"
"ASV30841",78.130092975231,3.12681335788506,0.657102039090256,4.75848981113202,1.95046736000029e-06,1.5374272131767e-05,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Lactococcus","Self Taken Swab vs Stool"
"ASV30431",173.150435456387,4.34759872400991,0.981010516313134,4.43175547225446,9.34689827551371e-06,7.15705353667907e-05,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","Self Taken Swab vs Stool"
"ASV1131",37.7625699175117,7.43164539427086,1.73725700981711,4.27780423522552,1.88745897055032e-05,0.000140510834474301,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Moryella","Self Taken Swab vs Stool"
"ASV14471",472.143569627205,3.24112095028664,0.770879927948023,4.20444330275152,2.6172553258197e-05,0.000189574169545859,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Escherichia/Shigella","Self Taken Swab vs Stool"
"ASV13501",75.8741017915404,2.55119522533972,0.609293745929632,4.187135092692,2.82497694770289e-05,0.000199235216311677,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Burkholderiaceae","Burkholderia-Caballeronia-Paraburkholderia","Self Taken Swab vs Stool"
"ASV17281",38.3470631817599,3.04929577625957,0.756284401710408,4.03194323374025,5.53175504068679e-05,0.000380130859206169,"Bacteria","Actinobacteriota","Actinobacteria","Actinomycetales","Actinomycetaceae","Actinomyces","Self Taken Swab vs Stool"
"ASV1479",8.19588722475607,7.19270074035417,1.82701718660736,3.93685444947044,8.25566453118826e-05,0.000553129523589614,"Bacteria","Proteobacteria","Gammaproteobacteria","Aeromonadales","Succinivibrionaceae","Succinivibrio","Self Taken Swab vs Stool"
"ASV16342",55.3987346429745,3.10956477886918,0.836135388756278,3.71897281311648,0.000200034578021311,0.00130754309535881,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","Self Taken Swab vs Stool"
"ASV15231",38.6267812838594,6.12626956479081,1.71779507447322,3.56635646232103,0.000361978926629933,0.00228996967949745,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Klebsiella","Self Taken Swab vs Stool"
"ASV17691",3.04121944881842,5.76864628942311,1.61929530511983,3.56244242244389,0.000367420508277576,0.00228996967949745,"Bacteria","Actinobacteriota","Actinobacteria","Micrococcales","Dermabacteraceae","Dermabacter","Self Taken Swab vs Stool"
"ASV9271",21.2182750527732,8.7677141559842,2.5476428726523,3.44150047485122,0.000578497456083459,0.00352357541432653,"Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Peptostreptococcales-Tissierellales_fa","Parvimonas","Self Taken Swab vs Stool"
"ASV34331",1303.3859447634,3.17220441414076,0.925948593475373,3.4258968980497,0.000612772935807983,0.00364940326214532,"Bacteria","Firmicutes","Negativicutes","Veillonellales-Selenomonadales","Veillonellaceae","Dialister","Self Taken Swab vs Stool"
"ASV31791",21.3957244291871,3.93992607384053,1.21173264752484,3.25148132460446,0.0011480531764112,0.00668865763648264,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus","Self Taken Swab vs Stool"
"ASV15401",20.961706987129,3.6009860676645,1.14878289748339,3.13460974702278,0.00172082871521976,0.00981238501444457,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Citrobacter","Self Taken Swab vs Stool"
